epoch,average_reward,final_reward
214,-8.1386871800624,10000
215,-7.645017092745937,10000
216,-6.3749379839037355,10000
217,-7.020609827024691,10000
218,-5.233901763756923,0
219,-7.335061710171703,10000
220,-8.295376111580874,-10000
221,-7.6272306612689,10000
222,-7.017988169751983,10000
223,-7.271255994189839,10000
224,-4.948712357521668,10000
225,-7.432267746513059,-10000
226,-6.330871409854675,10000
227,-7.01731753017782,10000
228,-7.266892243161608,10000
229,-3.996642097445182,-10000
230,-7.281018785222027,10000
231,-2.958765573885882,-10000
232,-6.837558255542239,10000
233,-6.574197299662312,-10000
234,-3.7274423993842274,10000
235,-3.799284037047255,-10000
236,-7.2203732415799795,10000
237,-7.552379776566127,10000
238,-7.19112747601424,10000
239,-6.147173507744718,10000
240,-7.650054654993016,-10000
241,-6.626511820297714,10000
242,-7.164095892376368,10000
243,-6.817072890906996,-10000
244,-7.5529883727640375,10000
245,-6.758446910065686,-10000
246,-7.738749415996467,-10000
247,-3.349380257393932,10000
248,-3.646843087398779,0
249,-7.721415920923172,10000
250,-7.4133034374019315,10000
251,-7.506379724895626,10000
252,-6.69926549584038,10000
253,-7.187412175484721,10000
254,-7.1611286799727125,10000
255,-4.911605179920922,-10000
256,-7.084939709759005,-10000
257,-7.1184063193954445,10000
258,-5.002321531178165,-10000
259,-6.444929275257204,10000
260,-3.4358841546420495,-10000
261,-7.06980479936967,10000
262,-6.841121326626649,-10000
263,-7.9184250101667475,-10000
264,-5.69899698938193,-10000
265,-5.504614256435389,10000
266,-8.118275468304558,10000
267,-6.653055277961433,-10000
268,-7.647722136106362,-10000
269,-3.952090028095718,-10000
270,-7.164823221253608,0
271,-7.507179048477665,10000
272,-7.793591113945877,10000
273,-6.347273559904021,10000
274,-7.146711580333235,-10000
275,-7.054448160217272,10000
276,-6.64986310797274,-10000
277,-7.161258038678465,-10000
278,-7.719825102795539,10000
279,-6.205031668223141,10000
280,-7.617455853348163,10000
281,-6.54330595093218,10000
282,-7.21980945217806,10000
283,-3.8771475242735667,10000
284,-6.8413574246073106,10000
285,-3.5076935745641946,10000
286,-6.560337164410435,-10000
287,-4.083938933139439,10000
288,-7.140431379269295,10000
289,-7.635858087401659,10000
290,-4.053369756091204,10000
291,-8.115124579939842,10000
292,-7.940836309048097,-10000
293,-8.1917042142433,10000
294,-7.33910530156303,10000
295,-7.569702149927444,-10000
296,-7.140054244535716,0
297,-6.131641744933738,10000
298,-7.357267222291156,10000
299,-6.6269693806248835,0
300,-6.644934514356027,10000
301,-6.79878839885479,-10000
302,-6.988128669595794,10000
303,-3.917501120506522,10000
304,-7.077435400276797,10000
305,-6.92787789021588,10000
306,-7.481648331439128,10000
307,-7.4731775772632805,10000
308,-5.556641684766873,10000
309,-6.945056016239914,10000
310,-4.947288411434461,10000
311,-6.737538430260172,-10000
312,-7.6446737422191084,0
313,-4.008039501073258,10000
314,-6.864005768735851,10000
315,-6.97711532225253,10000
316,-5.192632301855319,10000
317,-7.417729550489514,-10000
318,-8.164746843240824,-10000
319,-6.8004044601715306,10000
320,-7.124788644487881,10000
321,-7.605844363930538,-10000
322,-7.697629508577634,10000
323,-8.085847030334708,10000
324,-7.516967629488601,10000
325,-6.173355705991773,10000
326,-7.467269906578356,-10000
327,-7.749912859526899,10000
328,-7.435813646449764,10000
329,-6.384610478505599,10000
330,-7.4630016844463665,-10000
331,-4.627446870168597,-10000
332,-6.720100634072603,-10000
333,-7.141123783625674,10000
334,-5.540380484848311,10000
335,-5.266161874465955,10000
336,-5.975740753680256,-10000
337,-6.789361383746558,-10000
338,-7.341359432229935,10000
339,-3.6848072483169787,10000
340,-7.098547001535332,10000
341,-7.758157335502238,10000
342,-3.7592685712740974,10000
343,-7.6948747189395315,10000
344,-7.490141739750027,10000
345,-6.9667972096754225,10000
346,-4.43858765148411,10000
347,-7.709407887020742,10000
348,-6.528774245556655,10000
349,-7.920653886327208,10000
350,-7.750436276042221,10000
351,-8.079749042630722,0
352,-5.772495667166079,-10000
353,-5.797668558164007,-10000
354,-5.643679956790202,10000
355,-2.621599901341108,10000
356,-7.64340255129235,10000
357,-7.077861848762409,10000
358,-7.777012648724602,10000
359,-4.716016247489497,10000
360,-7.819250497040372,10000
361,-5.905996320759422,10000
362,-7.939061195192276,10000
363,-7.745048581611907,-10000
364,-7.067236971343624,10000
365,-7.998684532978011,10000
366,-6.883059449036384,-10000
367,-6.020996823605945,10000
368,-7.822236031669781,-10000
369,-0.9255600591675508,-10000
370,-7.098970676475888,10000
371,-7.448702671715953,10000
372,-7.774866613638182,-10000
373,-7.580796436380069,10000
374,-5.804439289692111,10000
375,-5.954270225676607,10000
376,-7.259887809567294,10000
377,-7.5993550692405085,10000
378,-6.6357385012658945,10000
379,-7.708050933646725,10000
380,-4.609241203994164,-10000
381,-8.324096483429201,-10000
382,-5.729045954876801,10000
383,-4.3222923695719215,10000
384,-6.113139716961617,-10000
385,-5.964346547916908,10000
386,-4.866316646085313,10000
387,-5.934975065907211,10000
388,-7.689622434115853,-10000
389,-6.182996047318334,-10000
390,-5.434403264462025,10000
391,-6.513381633141729,-10000
392,-5.377460204949369,10000
393,-1.4136735680140529,10000
394,-7.45497208187746,10000
