epoch,average_reward,final_reward
584,-11.56997070136144,-10000
585,-27.83273107414122,10000
586,1.5343518655949082,-10000
587,-8.433221941001209,10000
588,-4.168467418221553,-10000
589,4.677997684955943,-10000
590,-5.6637031541128335,-10000
591,-27.70489979039672,-10000
592,-4.358018698703027,-10000
593,-16.135223472990816,-10000
594,-29.582940966054323,-10000
595,-100.0,10000
596,-47.998955016619554,10000
597,0.6549928993932259,-10000
598,-5.241324646426255,-10000
599,-8.165732853343512,-10000
600,-3.203988998478523,0
601,-6.722964231573377,-10000
602,-14.126111240020618,-10000
603,-54.02214364243112,0
604,1.4282795439465725,-10000
605,-23.491696266543375,-10000
606,-2.4531541055464583,10000
607,-100.0,-10000
608,2.4934151404713054,-10000
609,4.105605399205983,-10000
610,-1.623083658537802,-10000
611,-39.18483006867854,-10000
612,-43.93755333149775,0
613,-14.409776712078653,10000
614,-73.39055377714857,-10000
615,0.6108495968594772,-10000
616,0.11210648688261984,-10000
617,-2.6807542761636323,-10000
618,-23.15778577683266,-10000
619,0.16091063648099782,-10000
620,-3.127092694261322,-10000
621,-33.713084952664715,-10000
622,1.2488341095678275,-10000
623,1.0783830987278065,-10000
624,-22.788844722075165,-10000
625,-52.363125280987504,-10000
626,-14.666848602985045,-10000
627,-5.491820654108,-10000
628,-54.695337062985836,-10000
629,3.3609792788257415,-10000
630,-77.72356592436975,-10000
631,-8.330187172419365,-10000
632,-11.40411108279648,-10000
633,-15.130344160778776,0
634,-30.26119084723895,-10000
635,-3.7779340553435743,0
636,-1.228502255400575,-10000
637,-38.380922782910616,-10000
638,-14.61948931549572,-10000
639,-20.57526961769953,-10000
640,-5.657324230589485,-10000
641,-21.67583084329373,-10000
642,-1.7138583493063604,-10000
643,3.3919677607850884,-10000
644,-8.619583956423025,-10000
645,2.892026198647057,-10000
646,-1.7713487401381436,-10000
647,-22.115990859813078,-10000
648,0.8458777325514205,-10000
649,2.5225012776808327,-10000
650,2.8514793429561145,-10000
651,-0.6890854784696545,-10000
652,-6.783782895264361,10000
653,-53.50443940767225,-10000
654,-14.486339518110778,-10000
655,-19.349137084802628,-10000
656,-7.0332500545043315,-10000
657,-15.257604371113855,0
658,-0.14678442970221853,0
659,-16.114712750571236,-10000
660,-71.7536948220215,-10000
661,-10.140577805278136,-10000
662,-13.7289756617607,-10000
663,-3.414650578916985,-10000
664,-9.671422424628695,-10000
665,-20.034709901608714,-10000
666,-40.55094949937115,-10000
667,-50.80784172177587,-10000
668,-89.87054159256557,-10000
669,-57.73109719606487,-10000
670,-5.95490746795208,0
671,-14.327876669150765,-10000
672,-22.13686132389589,-10000
673,-7.463095402522993,0
674,-23.256400382957455,-10000
675,-14.902362976404294,-10000
676,-6.806158322912344,0
677,-8.504866849916139,-10000
678,-10.56377714271274,-10000
679,-16.651868509506585,-10000
680,1.1343698321658462,0
681,-19.15929644233111,-10000
682,2.864676549901343,-10000
683,-22.35129223292221,-10000
684,-49.22665373785276,-10000
685,-4.658194859985035,-10000
686,-100.0,10000
687,2.35181995818924,-10000
688,-17.70347480356716,-10000
689,-37.89428841166539,10000
690,-21.417623929142753,10000
691,-17.680821443221514,-10000
692,-47.43199062641261,-10000
693,-25.591185192878598,-10000
694,-36.16996289809345,10000
695,-11.283199939951507,-10000
696,-9.418871236828142,-10000
697,-6.174514364730526,-10000
698,-3.3766076590904706,-10000
699,1.377705793525071,-10000
700,2.63550479970469,-10000
701,-10.352578333174472,-10000
702,-47.19887227300979,-10000
703,-4.5063309704606755,10000
704,-69.97657905997958,10000
705,-16.52950004641165,-10000
706,-45.61698507911477,-10000
707,2.2160316998808196,-10000
708,-10.491122446493247,-10000
709,-71.68440849162884,-10000
710,-20.269701425600548,-10000
711,-1.739598151666266,-10000
712,3.6570052213461772,-10000
713,4.525935869448533,-10000
714,-7.466312821926504,-10000
715,-4.328637080228821,0
716,-32.542588475186186,-10000
717,2.4998406697875293,0
718,-37.67710393859061,-10000
719,-57.46364954703671,-10000
720,-12.936173261658912,-10000
721,-12.414616396896024,-10000
722,-64.17147187470628,-10000
723,-9.238961140502692,-10000
724,-34.31363595502894,-10000
725,-8.874321785002982,-10000
726,3.0362448704395915,-10000
727,-7.151192694539506,-10000
728,-4.662152601040783,-10000
729,-6.530907324121997,-10000
730,-44.344363208616926,-10000
731,-35.82027702090002,-10000
732,-16.378414039473736,-10000
733,-22.920959936521786,-10000
734,-100.0,10000
735,-55.12214813794521,-10000
736,-8.510556738597677,-10000
737,-12.695435726421271,10000
738,-20.437203361375797,-10000
739,-14.37154601545586,-10000
740,0.6582848551332544,-10000
741,0.7801652904781804,-10000
742,0.08182929195947139,-10000
743,-6.921725886764979,-10000
744,3.444599151377737,-10000
745,-78.16403851909793,10000
746,-24.23462116749953,-10000
747,-60.650198542087175,0
748,-10.657462020891373,-10000
749,-23.5428089106483,-10000
750,5.683761622493498,-10000
751,-9.387243493310935,-10000
752,-32.25412179312995,-10000
753,-37.88524630557103,-10000
754,-1.9909913358134432,-10000
755,-41.829876529614275,-10000
756,-100.0,-10000
757,2.3612749552881445,-10000
758,4.322819978350036,-10000
759,-0.5215646360460703,-10000
760,-1.0576549334339715,-10000
761,-39.05026438662036,-10000
762,4.629540634260742,-10000
